Message,Last Sent,Sent,Delivered%,Opened%,Clicked%,Bounced%,Opt Out%
2022-10-12 Law Seminar 006 - Adam,10/13/2022,481,99.79%,36.67%,7.29%,0.21%,0%
2022-10-12 NEAA E-flyer 003,10/12/2022,4721,99.79%,20.23%,1%,0.21%,0.02%
2022-10-17 One Water Holiday Party 001,10/19/2022,330,95.76%,66.14%,26.9%,4.24%,0.32%
2022-10-17 WWLC 2023 Inquiries Email,10/17/2022,35,100%,57.14%,34.29%,0%,0%
2022-10-19 Law Seminar E-flyer 007,10/19/2022,2194,99.68%,55.24%,9.24%,0.32%,0%
2022-10-19 PFAS CERCLA Webinar Thank You,10/20/2022,415,100%,59.76%,27.95%,0%,0%
2022-10-19 WWLC 2023 Announcement E-Flyer,10/20/2022,4767,99.9%,23.27%,5.14%,0.1%,0.02%
2022-10-20 CWC,10/20/2022,6428,99.81%,24.78%,4.64%,0.19%,0.02%
2022-10-25 CWC,10/26/2022,6438,99.88%,26.07%,5.6%,0.12%,0%
2022-10-25 Economic Implications Webinar Thank You,10/26/2022,299,100%,55.18%,17.39%,0%,0%
2022-10-28 Winter Conference E-Flyer 001,11/01/2022,6510,99.77%,25.31%,5.57%,0.23%,0%
2022-10-31 Membership Dues - Adam,10/31/2022,191,100%,54.45%,22.51%,0%,0%
2022-10-31 Regulatory Update,10/31/2022,6425,99.89%,21.39%,3.47%,0.11%,0%
2022-11-01 CWC,11/02/2022,6420,99.89%,22.92%,4.43%,0.11%,0.02%
2022-11-03 Law Seminar 008,11/03/2022,6399,99.59%,20.71%,3.5%,0.41%,0%
2022-11-03 One Water Holiday Party 002,11/07/2022,270,95.93%,42.86%,11.58%,4.07%,0%
2022-11-07 Core -Strategic Leader Training,11/07/2022,6376,99.89%,22.34%,5.34%,0.11%,0%
2022-11-09 CWC,11/10/2022,6414,99.2%,15.09%,3.3%,0.44%,0.02%
2022-11-8 Fall Strategic Leadership Meeting-SYNW,11/08/2022,78,100%,69.23%,39.74%,0%,0%
2022-11-8 NACWA Board Material Availability,11/08/2022,51,100%,54.9%,27.45%,0%,1.96%
2022-11-9 Law & Enforcement Seminar Thank You,11/09/2022,3,100%,100%,66.67%,0%,0%
2022-11-9 Law & Enforcement Seminar-SYNW,11/10/2022,129,99.22%,59.38%,29.69%,0.78%,0%
NACWA Communications Preferences,11/10/2022,6,100%,83.33%,66.67%,0%,283.33%
